Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
10/24/2019,"1,438.00","1,417.00","1,438.80","1,417.00",350.12M,1.48%,,,,0.01%,130
10/23/2019,"1,417.00","1,415.30","1,417.10","1,408.40",319.88M,0.12%,,,,-1.26%,129
10/22/2019,"1,415.30","1,435.00","1,442.80","1,414.80",298.37M,-1.37%,,,,1.71%,128
10/21/2019,"1,435.00","1,419.80","1,435.40","1,419.80",308.31M,1.07%,,,,2.13%,127
10/18/2019,"1,419.80","1,432.90","1,433.60","1,410.90",341.31M,-0.91%,,,,-0.15%,126
10/17/2019,"1,432.90","1,436.20","1,444.90","1,426.00",270.01M,-0.23%,,,,-0.72%,125
10/16/2019,"1,436.20","1,446.50","1,446.50","1,431.10",303.48M,-0.71%,,,,-0.49%,124
10/15/2019,"1,446.50","1,430.70","1,449.80","1,430.70",295.68M,1.10%,,,,1.01%,123
10/14/2019,"1,430.70","1,432.10","1,436.60","1,429.90",258.14M,-0.10%,,,,0.50%,122
10/11/2019,"1,432.10","1,411.10","1,443.90","1,411.10",405.84M,1.49%,,,,-0.67%,121
10/10/2019,"1,411.10","1,402.10","1,417.30","1,400.10",299.23M,0.64%,,,,-0.27%,120
10/9/2019,"1,402.10","1,382.10","1,407.20","1,382.10",261.58M,1.45%,,,,0.35%,119
10/8/2019,"1,382.10","1,407.60","1,407.60","1,382.00",354.91M,-1.82%,,,,0.07%,118
10/7/2019,"1,407.60","1,414.40","1,419.10","1,406.70",286.05M,-0.48%,,,,0.21%,117
10/4/2019,"1,414.40","1,390.60","1,415.30","1,390.60",333.21M,1.71%,,,,-1.12%,116
10/3/2019,"1,390.60","1,373.60","1,391.20","1,356.40",351.01M,1.24%,,,,0.23%,115
10/2/2019,"1,373.60","1,401.30","1,401.30","1,364.10",393.14M,-1.98%,,,,-1.03%,114
10/1/2019,"1,401.30","1,413.40","1,429.40","1,400.40",352.07M,-0.85%,,,,1.24%,113
9/30/2019,"1,413.40","1,398.80","1,417.10","1,398.80",350.85M,1.04%,,,,0.04%,112
9/27/2019,"1,398.80","1,417.00","1,421.00","1,388.70",399.49M,-1.28%,,,,-1.28%,111
9/26/2019,"1,417.00","1,416.40","1,422.80","1,407.20",306.52M,0.04%,,,,1.04%,110
9/25/2019,"1,416.40","1,399.10","1,420.10","1,385.30",345.85M,1.24%,,,,-0.85%,109
9/24/2019,"1,399.10","1,413.60","1,428.20","1,393.90",435.66M,-1.03%,,,,-1.98%,108
9/23/2019,"1,413.60","1,410.30","1,417.70","1,406.50",312.36M,0.23%,,,,1.24%,107
9/20/2019,"1,410.30","1,426.30","1,430.60","1,406.30",650.44M,-1.12%,,,,1.71%,106
9/19/2019,"1,426.30","1,423.30","1,438.80","1,423.30",317.86M,0.21%,,,,-0.48%,105
9/18/2019,"1,423.30","1,422.30","1,423.60","1,403.60",316.40M,0.07%,,,,-1.82%,104
9/17/2019,"1,422.30","1,417.40","1,422.90","1,415.10",315.38M,0.35%,,,,1.45%,103
9/16/2019,"1,417.40","1,421.30","1,421.30","1,409.20",289.94M,-0.27%,,,,0.64%,102
9/13/2019,"1,421.30","1,430.90","1,430.90","1,419.30",344.76M,-0.67%,,,,1.49%,101
9/12/2019,"1,430.90","1,423.80","1,442.60","1,423.80",428.26M,0.50%,,,,-0.10%,100
9/11/2019,"1,423.80","1,409.50","1,423.80","1,409.50",388.19M,1.01%,,,,1.10%,99
9/10/2019,"1,409.50","1,416.50","1,416.50","1,393.20",396.28M,-0.49%,,,,-0.71%,98
9/9/2019,"1,416.50","1,426.80","1,434.00","1,408.90",378.74M,-0.72%,,,,-0.23%,97
9/6/2019,"1,426.80","1,428.90","1,432.00","1,423.60",324.55M,-0.15%,,,,-0.91%,96
9/5/2019,"1,428.90","1,399.20","1,433.90","1,399.20",404.56M,2.13%,,,,1.07%,95
9/4/2019,"1,399.20","1,375.70","1,399.60","1,375.70",302.12M,1.71%,,,,-1.37%,94
9/3/2019,"1,375.70","1,393.30","1,393.30","1,370.60",293.13M,-1.26%,,,,0.12%,93
8/30/2019,"1,393.30","1,393.10","1,403.20","1,382.80",296.63M,0.01%,,,,1.48%,92
8/29/2019,"1,393.10","1,369.40","1,397.10","1,369.40",287.58M,1.73%,,,,1.20%,91
8/28/2019,"1,369.40","1,368.10","1,371.30","1,351.20",296.79M,0.10%,,,,1.26%,90
8/27/2019,"1,368.10","1,369.90","1,381.20","1,360.30",341.79M,-0.13%,,,,-0.92%,89
8/26/2019,"1,369.90","1,351.10","1,370.50","1,351.10",315.21M,1.39%,,,,0.61%,88
8/23/2019,"1,351.10","1,397.30","1,402.60","1,346.00",521.86M,-3.30%,,,,-0.12%,87
8/22/2019,"1,397.30","1,400.90","1,407.50","1,385.30",318.56M,-0.26%,,,,1.22%,86
