Date,Price,Open,High,Low,Vol.,Change %,,,,Date,Price,Change %,Event Time,,Helper
4/5/2019,574.07,572.38,574.52,571.38,,0.27%,,,,,,,,,
4/4/2019,572.51,571.18,573.35,570.25,,0.37%,,,,,,,,,
4/3/2019,570.42,573.35,573.78,568.64,,-0.63%,,,,,,,,,
4/2/2019,574.01,576.82,577.33,573.96,,-0.84%,,,,,,,,,
4/1/2019,578.9,580.9,581.08,577.54,,-0.21%,,,,,,,,,
3/29/2019,580.11,577.36,580.64,575.7,,0.69%,,,,,,,,,
3/28/2019,576.14,574.32,577.93,574.32,,0.42%,,,,,,,,,
3/27/2019,573.72,575.55,577.5,570.79,,-0.40%,,,,,,,,,
3/26/2019,576.02,572.72,577.9,572.72,,0.85%,,,,,,,,,
3/25/2019,571.15,569.29,572.67,567.72,,-0.01%,,,,,,,,,
3/22/2019,571.22,572.06,575.04,570.83,,-0.23%,,,,,,,,,
3/21/2019,572.56,565.23,573.4,565.05,,1.19%,,,,,,,,,
3/20/2019,565.82,567.78,569.07,564.1,,-0.38%,,,,,,,,,
3/19/2019,567.99,569.55,571.34,565.96,,-0.12%,,,,,,,,,
3/18/2019,568.68,567.48,569.7,567.28,,0.27%,,,,,,,,,
3/15/2019,567.16,565.24,569.13,564.99,,0.50%,,,,,,,,,
3/14/2019,564.34,565.12,565.78,563.3,,-0.28%,,,,,,,,,
3/13/2019,565.93,563.13,567.71,562.49,,0.70%,,,,,,,,,
3/12/2019,561.99,562.49,564.46,560.9,,-0.02%,,,,,,,,,
3/11/2019,562.12,555.57,562.55,555.57,,1.33%,,,,,,,,,
3/8/2019,554.75,554.76,557.01,551.88,,0.12%,,,,,,,,,
3/7/2019,554.07,556.18,557.27,552.62,,-0.56%,,,,,,,,,
3/6/2019,557.19,558.06,559.2,555.05,,-0.10%,,,,,,,,,
3/5/2019,557.73,557.99,559.69,556.71,,-0.04%,,,,,,,,,
3/4/2019,557.96,560.34,560.95,553.88,,-0.12%,,,,,,,,,
3/1/2019,558.61,561.29,561.86,554.89,,-0.17%,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
