Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
1/31/2020,992.01,"1,011.13","1,011.46",989.87,341.66M,0.82%,,,,,6/20/2019,952.29,0.66%,197,-149
1/30/2020,983.92,978.37,984.56,975.71,260.47M,-0.07%,,,,,6/21/2019,948.84,-0.36%,196,-148
1/29/2020,984.65,987.49,992.43,984.05,275.05M,-0.06%,,,,,6/24/2019,943.98,-0.51%,195,-147
1/28/2020,985.22,979.4,988.71,976.59,300.72M,0.98%,,,,,6/25/2019,933.85,-1.07%,194,-146
1/27/2020,975.64,970.69,980.47,967.86,276.97M,-1.53%,,,,,6/26/2019,937.7,0.41%,193,-145
1/24/2020,990.75,"1,006.19","1,006.91",985.94,250.15M,-1.33%,,,,,6/27/2019,943.24,0.59%,192,-144
1/23/2020,"1,004.12",999.31,"1,005.61",993.22,263.22M,0.12%,,,,,6/28/2019,945.58,0.25%,191,-143
1/22/2020,"1,002.92","1,007.58","1,010.82","1,002.19",200.07M,-0.10%,,,,,7/1/2019,953.84,0.87%,190,-142
1/21/2020,"1,003.97","1,001.66","1,004.32",997.45,274.99M,-0.17%,,,,,7/2/2019,956.88,0.32%,189,-141
1/17/2020,"1,005.68","1,004.89","1,007.17","1,003.60",239.55M,0.28%,,,,,7/3/2019,964.02,0.75%,188,-140
1/16/2020,"1,002.85",999.89,"1,002.90",998.9,210.34M,0.90%,,,,,7/5/2019,965.13,0.12%,187,-139
1/15/2020,993.95,994.43,997.68,991.42,243.97M,-0.26%,,,,,7/8/2019,966.92,0.19%,186,-138
1/14/2020,996.51,996.04,999.44,993.8,207.27M,-0.12%,,,,,7/9/2019,970.09,0.33%,185,-137
1/13/2020,997.67,996.55,999.09,993.64,212.12M,0.32%,,,,,7/10/2019,973.86,0.39%,184,-136
1/10/2020,994.48,"1,001.63","1,001.63",993.26,209.55M,-0.54%,,,,,7/11/2019,975.46,0.16%,183,-135
1/9/2020,999.92,999.39,"1,003.75",997.45,271.44M,0.56%,,,,,7/12/2019,985.83,1.06%,182,-134
1/8/2020,994.37,991.48,"1,000.49",990.95,263.55M,0.15%,,,,,7/15/2019,989.17,0.34%,181,-133
1/7/2020,992.87,992.75,994.83,988.52,250.76M,-0.13%,,,,,7/16/2019,987.4,-0.18%,180,-132
1/6/2020,994.12,983.76,994.17,983.29,246.05M,0.37%,,,,,7/17/2019,978.51,-0.90%,179,-131
1/3/2020,990.5,986,993.41,985.95,211.47M,-0.85%,,,,,7/18/2019,976.38,-0.22%,178,-130
1/2/2020,999.01,993.05,999.01,989.11,243.74M,1.29%,,,,,7/19/2019,969.52,-0.70%,177,-129
12/31/2019,986.29,983.04,986.88,981.6,158.44M,0.15%,,,,,7/22/2019,971.08,0.16%,176,-128
12/30/2019,984.82,992.64,993.59,982.99,165.99M,-0.72%,,,,,7/23/2019,976.68,0.58%,175,-127
12/27/2019,991.94,994.9,997.74,990.41,147.11M,0.05%,,,,,7/24/2019,981.91,0.54%,174,-126
12/26/2019,991.42,979.8,991.52,979.8,139.37M,1.43%,,,,,7/25/2019,975.69,-0.63%,173,-125
12/24/2019,977.43,976.3,978.67,976.3,72.27M,0.13%,,,,,7/26/2019,977.85,0.22%,172,-124
12/23/2019,976.16,978.69,979.27,975.3,198.80M,-0.13%,,,,,7/29/2019,972.17,-0.58%,171,-123
12/20/2019,977.43,979.35,979.7,976.33,393.50M,0.12%,,,,,7/30/2019,965.48,-0.69%,170,-122
12/19/2019,976.28,972.09,976.78,970.8,240.05M,0.36%,,,,,7/31/2019,954.09,-1.18%,169,-121
12/18/2019,972.81,974.66,975.94,971.71,262.86M,0.00%,,,,,8/1/2019,941.7,-1.30%,168,-120
12/17/2019,972.84,969.41,973.5,969.41,227.35M,0.55%,,,,,8/2/2019,933.12,-0.91%,167,-119
12/16/2019,967.51,967.04,969.55,965.66,264.30M,0.43%,,,,,8/5/2019,907.67,-2.73%,166,-118
12/13/2019,963.4,963.82,965.28,958.92,221.77M,0.04%,,,,,8/6/2019,920.96,1.46%,165,-117
12/12/2019,963.02,956.22,964.91,954.86,255.18M,0.87%,,,,,8/7/2019,923.86,0.31%,164,-116
12/11/2019,954.67,953.05,955.02,949.58,199.11M,0.30%,,,,,8/8/2019,942.18,1.98%,163,-115
12/10/2019,951.86,954.18,955.8,950.47,201.48M,-0.21%,,,,,8/9/2019,933.03,-0.97%,162,-114
12/9/2019,953.89,952.52,957.38,952.35,211.31M,0.07%,,,,,8/12/2019,919.71,-1.43%,161,-113
12/6/2019,953.2,952.13,955.14,952.13,216.29M,0.81%,,,,,8/13/2019,935.46,1.71%,160,-112
12/5/2019,945.56,950.18,950.24,944.01,215.03M,-0.22%,,,,,8/14/2019,906.1,-3.14%,159,-111
12/4/2019,947.67,946.3,951.86,946.3,227.64M,0.40%,,,,,8/15/2019,905.42,-0.08%,158,-110
12/3/2019,943.85,944.52,944.53,938.13,242.44M,-1.01%,,,,,8/16/2019,915.32,1.09%,157,-109
12/2/2019,953.48,962.71,963.01,950.69,230.60M,-0.76%,,,,,8/19/2019,926.72,1.25%,156,-108
11/29/2019,960.79,967.57,968.91,960.38,109.24M,-0.77%,,,,,8/20/2019,926,-0.08%,155,-107
11/27/2019,968.21,962.3,968.7,961.55,227.57M,0.83%,,,,,8/21/2019,942.92,1.83%,154,-106
11/26/2019,960.24,952.09,960.35,952.09,354.94M,0.81%,,,,,8/22/2019,942.34,-0.06%,153,-105
