Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
2/26/2020,224.2,232.91,234.6,221.99,68.03M,-3.16%,,,5/28/2019,248.01,-1.18%,197
2/25/2020,231.52,250.09,250.87,230.99,67.02M,-7.05%,,,5/29/2019,245.58,-0.98%,196
2/24/2020,249.07,258.35,258.35,245.63,62.39M,-5.36%,,,5/30/2019,245.07,-0.21%,195
2/21/2020,263.17,264.78,264.78,258.74,29.74M,-1.15%,,,5/31/2019,238.41,-2.72%,194
2/20/2020,266.24,265.3,269.16,265.23,27.09M,0.04%,,,6/3/2019,239.93,0.64%,193
2/19/2020,266.13,268.67,268.78,265.95,24.74M,-0.86%,,,6/4/2019,249.18,3.86%,192
2/18/2020,268.44,269.09,271.24,266.73,26.89M,-0.46%,,,6/5/2019,254.12,1.98%,191
2/14/2020,269.69,272.92,273.84,269.2,22.13M,-1.14%,,,6/6/2019,253.6,-0.20%,190
2/13/2020,272.8,270.48,273.12,269.8,26.44M,-0.26%,,,6/7/2019,255.31,0.67%,189
2/12/2020,273.5,271.35,274.75,271.1,25.79M,1.57%,,,6/10/2019,254.25,-0.42%,188
2/11/2020,269.28,266.83,271.18,266.74,26.02M,1.49%,,,6/11/2019,255.43,0.46%,187
2/10/2020,265.32,263.87,265.37,262.04,30.47M,0.12%,,,6/12/2019,257.76,0.91%,186
2/7/2020,265.01,265.02,266.03,263.28,22.55M,-0.53%,,,6/13/2019,265.62,3.05%,185
2/6/2020,266.43,271.9,273.35,266.01,34.47M,-1.16%,,,6/14/2019,263.73,-0.71%,184
2/5/2020,269.57,268.42,270.56,266.52,31.56M,2.14%,,,6/17/2019,262,-0.66%,183
2/4/2020,263.93,260.02,265.19,260.02,33.25M,2.96%,,,6/18/2019,263.58,0.60%,182
2/3/2020,256.34,256.89,260.75,255.53,30.57M,0.51%,,,6/19/2019,264.83,0.47%,181
1/31/2020,255.04,259.77,260.33,253.67,39.68M,-2.42%,,,6/20/2019,261.48,-1.26%,180
1/30/2020,261.36,258.32,261.63,255.14,35.51M,0.67%,,,6/21/2019,260.33,-0.44%,179
1/29/2020,259.63,263.05,264.2,259.37,34.00M,-1.18%,,,6/24/2019,260.52,0.07%,178
1/28/2020,262.74,261.75,264.69,259.95,40.08M,1.35%,,,6/25/2019,258.37,-0.83%,177
1/27/2020,259.25,258.24,260.55,255.3,62.49M,-3.03%,,,6/26/2019,258.77,0.15%,176
1/24/2020,267.35,271.09,271.14,261.93,57.67M,-1.50%,,,6/27/2019,261.42,1.02%,175
1/23/2020,271.41,263.62,271.97,258.27,64.48M,2.62%,,,6/28/2019,263.02,0.61%,174
1/22/2020,264.47,267.58,269.4,264.3,45.38M,-0.52%,,,7/1/2019,266.35,1.27%,173
1/21/2020,265.85,271.98,272.22,261.54,63.89M,-3.07%,,,7/2/2019,266.75,0.15%,172
1/17/2020,274.27,274.28,275.8,273.47,29.43M,0.13%,,,7/3/2019,270.41,1.37%,171
1/16/2020,273.92,272.69,275.15,272.34,26.33M,1.00%,,,7/5/2019,269.69,-0.27%,170
1/15/2020,271.2,269.45,272.3,268.45,25.88M,0.52%,,,7/8/2019,271.8,0.78%,169
1/14/2020,269.8,268.03,274.27,268.03,42.40M,1.54%,,,7/9/2019,268.85,-1.09%,168
1/13/2020,265.71,265.58,266.4,264.47,31.22M,0.06%,,,7/10/2019,270.25,0.52%,167
1/10/2020,265.55,267.32,267.32,264.4,28.55M,-0.43%,,,7/11/2019,271.31,0.39%,166
1/9/2020,266.71,267.56,269.12,265.59,24.40M,0.26%,,,7/12/2019,276.18,1.79%,165
1/8/2020,266.02,262.26,268.29,262.14,34.44M,1.16%,,,7/15/2019,275.48,-0.25%,164
1/7/2020,262.97,264.19,264.94,262.4,21.66M,-0.30%,,,7/16/2019,281.99,2.36%,163
1/6/2020,263.77,262.89,264.39,260.69,23.79M,-0.53%,,,7/17/2019,278.14,-1.37%,162
1/3/2020,265.17,264.82,265.74,261.07,38.47M,-1.91%,,,7/18/2019,279.98,0.66%,161
1/2/2020,270.32,269.38,271.65,268.23,22.44M,1.29%,,,7/19/2019,274.93,-1.80%,160
12/31/2019,266.88,266.19,267.54,265.83,17.29M,0.05%,,,7/22/2019,276.22,0.47%,159
12/30/2019,266.74,268.98,268.98,265.37,18.31M,-0.65%,,,7/23/2019,283.05,2.47%,158
12/27/2019,268.48,272.37,272.43,267.46,21.34M,-1.31%,,,7/24/2019,285.36,0.82%,157
12/26/2019,272.04,271.72,273.07,270.71,12.61M,0.25%,,,7/25/2019,278.27,-2.48%,156
