Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
1/29/2020,372.35,372.56,374.43,372.26,76.51M,0.36%,,,6/24/2019,363.43,0.45%,178
1/28/2020,371,368.89,372.37,368.19,113.04M,0.98%,,,6/25/2019,363.43,0.00%,177
1/27/2020,367.4,371.07,371.07,367.35,122.04M,-2.10%,,,6/26/2019,362.76,-0.18%,176
1/24/2020,375.28,377.89,378.14,373.61,87.60M,-0.69%,,,6/27/2019,364.02,0.35%,175
1/23/2020,377.88,375.21,378.11,372.67,115.08M,-0.14%,,,6/28/2019,367.14,0.86%,174
1/22/2020,378.4,380.5,380.84,378.04,86.18M,-0.39%,,,7/1/2019,369.66,0.69%,173
1/21/2020,379.89,381.75,381.91,379.24,96.03M,-1.07%,,,7/2/2019,369.15,-0.14%,172
1/17/2020,383.98,382.72,383.98,381.62,92.38M,0.49%,,,7/3/2019,371.02,0.51%,171
1/16/2020,382.12,380.85,382.75,380.01,78.70M,0.58%,,,7/5/2019,369.06,-0.53%,170
1/15/2020,379.93,377.85,381.61,377.75,70.63M,0.64%,,,7/8/2019,365.16,-1.06%,169
1/14/2020,377.51,378.24,379.63,376.51,90.01M,-0.39%,,,7/9/2019,361.46,-1.01%,168
1/13/2020,378.97,374.42,379.03,374.23,84.16M,1.36%,,,7/10/2019,360.78,-0.19%,167
1/10/2020,373.89,376.6,377.32,373.45,62.74M,-0.42%,,,7/11/2019,362.33,0.43%,166
1/9/2020,375.48,375.01,376.14,374.42,68.74M,0.33%,,,7/12/2019,366.04,1.02%,165
1/8/2020,374.25,372.86,375.6,371.79,78.24M,0.49%,,,7/15/2019,366.68,0.17%,164
1/7/2020,372.41,372.44,375.42,371.78,101.86M,-0.21%,,,7/16/2019,367.37,0.19%,163
1/6/2020,373.19,374.27,375.7,373.09,92.88M,-0.45%,,,7/17/2019,364.12,-0.88%,162
1/3/2020,374.88,377.51,379.47,374.86,92.00M,-1.62%,,,7/18/2019,365.68,0.43%,161
1/2/2020,381.07,387.77,388.65,380.69,94.44M,-1.24%,,,7/19/2019,366.59,0.25%,160
