Date,Price,Open,High,Low,Vol.,Change %,,,,,Change %,Helper
12/23/2019,"1,194.33","1,191.94","1,195.85","1,189.82",148.02M,0.33%,,,,,0.91%,171
12/20/2019,"1,190.45","1,191.90","1,194.57","1,186.83",372.03M,0.78%,,,,,-0.73%,170
12/19/2019,"1,181.27","1,179.40","1,182.77","1,177.47",197.93M,0.39%,,,,,-0.75%,169
12/18/2019,"1,176.70","1,175.50","1,179.23","1,174.53",205.52M,0.12%,,,,,0.11%,168
12/17/2019,"1,175.27","1,178.68","1,178.68","1,173.66",210.41M,-0.09%,,,,,0.36%,167
12/16/2019,"1,176.30","1,168.44","1,180.73","1,168.44",275.73M,1.08%,,,,,0.02%,166
12/13/2019,"1,163.70","1,164.14","1,170.50","1,159.36",203.75M,-0.11%,,,,,-1.18%,165
12/12/2019,"1,165.00","1,155.73","1,168.64","1,154.97",213.48M,0.88%,,,,,0.21%,164
12/11/2019,"1,154.80","1,153.47","1,157.44","1,152.31",193.47M,0.17%,,,,,-0.50%,163
12/10/2019,"1,152.89","1,151.45","1,154.58","1,146.56",192.27M,0.15%,,,,,0.02%,162
12/9/2019,"1,151.20","1,158.21","1,159.42","1,151.18",173.57M,-0.68%,,,,,0.54%,161
12/6/2019,"1,159.11","1,156.61","1,163.21","1,156.61",158.73M,0.62%,,,,,-1.06%,160
12/5/2019,"1,152.01","1,152.58","1,153.43","1,142.27",149.80M,0.03%,,,,,-0.15%,159
12/4/2019,"1,151.67","1,145.33","1,153.33","1,144.76",153.83M,0.91%,,,,,0.62%,158
12/3/2019,"1,141.25","1,136.81","1,142.18","1,132.39",167.58M,-0.21%,,,,,0.03%,157
12/2/2019,"1,143.63","1,149.91","1,151.47","1,140.35",152.43M,-0.44%,,,,,-0.55%,156
11/29/2019,"1,148.69","1,150.38","1,152.61","1,146.83",73.44M,-0.35%,,,,,0.42%,155
11/27/2019,"1,152.73","1,148.99","1,154.65","1,147.83",144.84M,0.48%,,,,,0.41%,154
11/26/2019,"1,147.21","1,147.21","1,149.79","1,143.48",233.80M,-0.07%,,,,,-0.43%,153
11/25/2019,"1,147.99","1,137.76","1,148.25","1,137.76",189.99M,1.07%,,,,,-0.99%,152
11/22/2019,"1,135.88","1,134.06","1,137.12","1,131.15",166.12M,0.40%,,,,,0.10%,151
11/21/2019,"1,131.35","1,129.48","1,132.39","1,121.86",165.48M,0.22%,,,,,-0.22%,150
11/20/2019,"1,128.87","1,128.76","1,132.28","1,122.02",544.17M,-0.09%,,,,,-2.34%,149
11/19/2019,"1,129.84","1,125.70","1,131.57","1,123.99",230.36M,0.65%,,,,,1.27%,148
11/18/2019,"1,122.50","1,126.59","1,131.43","1,121.22",231.92M,-0.38%,,,,,-0.03%,147
11/15/2019,"1,126.75","1,104.40","1,128.18","1,104.40",223.90M,2.21%,,,,,1.38%,146
11/14/2019,"1,102.38","1,102.87","1,104.19","1,096.36",148.51M,-0.07%,,,,,0.18%,145
11/13/2019,"1,103.19","1,099.37","1,105.76","1,097.46",157.29M,0.11%,,,,,-1.02%,144
11/12/2019,"1,101.98","1,095.81","1,105.66","1,095.75",147.18M,0.58%,,,,,1.31%,143
